,HaulLat,HaulLong,Year,Distance,Plastic_Weight
76,54.3935,11.507,2016,2793,0.004
77,54.3967,11.4353,2013,2690,0
78,54.4,19.2733,2016,2946,0
79,54.4017,19.0033,2017,3077,0.0012
80,54.4033,19.055,2016,2907,0.526
81,54.4033,19.0983,2017,3026,0.0226
82,54.4035,12.2177,2013,2801,0
83,54.4039,12.2192,2017,2782,0.048
84,54.404,12.2173,2014,2726,0
85,54.4041,12.2162,2017,2903,0
86,54.4047,12.219,2014,2769,0.401
87,54.405,16.0333,2015,2605,0
88,54.405,19,2015,989,0
89,54.4058,12.2193,2013,3035,0
90,54.4083,16.0317,2017,2026,0
91,54.4083,19.0517,2017,2824,0.0402
92,54.41,19.2883,2016,1531,0
93,54.4117,19.2817,2017,3165,0.1046
94,54.4118,12.3153,2016,2760,0
95,54.4133,11.432,2012,2805,0.006
96,54.415,19.3167,2016,2623,2.406
97,54.4152,12.2293,2012,3566,0
98,54.4175,14.0968,2014,2748,0.864
99,54.4183,15.7083,2016,2619,0.001
100,54.4183,19.0667,2015,2921,0.0687
101,54.4188,12.3252,2013,2809,0
102,54.42,19.0783,2017,3031,0.0634
103,54.42,19.0867,2016,2921,0.047
104,54.4227,10.733,2017,2738,7.95
105,54.4232,10.7308,2015,2811,0.244
106,54.4247,10.7278,2015,2896,0
107,54.4288,10.6975,2012,2622,0
108,54.43,16.01,2016,3063,0.003
109,54.4303,14.0747,2014,2692,0
110,54.4303,14.0787,2016,2386,0
111,54.4333,15.1533,2017,3245,0.356
112,54.4333,15.165,2015,2603,0.1864
113,54.4333,16.0167,2017,2726,1.00E-04
114,54.4333,16.0267,2017,2871,0.0063
115,54.4343,14.1873,2015,2693,0
116,54.4348,14.2547,2013,2752,0
117,54.435,16.0467,2017,3029,0
118,54.4363,12.3422,2015,2892,0.016
119,54.4367,15.18,2016,1352,3
120,54.4367,15.2017,2016,2713,0.03
121,54.4367,15.2117,2017,2520,0.0492
122,54.4367,16.045,2016,2595,0.1
123,54.4367,19.135,2017,3036,0.085
124,54.4375,12.3432,2016,2712,0
125,54.4378,12.345,2017,2942,0
126,54.438,12.3428,2013,2868,0
127,54.4397,10.6733,2017,2749,0
128,54.4399,12.3445,2017,2752,0
129,54.44,19.1267,2017,2492,0.0712
130,54.44,19.13,2016,2810,0.001
131,54.4402,12.3455,2015,2802,0
132,54.4408,10.6665,2013,3062,0.001
133,54.4408,12.3458,2014,2710,0
134,54.4417,15.7183,2015,2886,0
135,54.4438,12.3488,2012,3592,0.006
136,54.445,14.9267,2017,2926,6.00E-04
137,54.4458,10.6478,2013,2688,0
138,54.4458,11.4157,2017,2880,0
139,54.446,11.421,2015,3107,0
140,54.446,11.429,2016,3303,0
141,54.4463,11.4163,2013,2991,0.035
142,54.4467,14.935,2017,1458,0
143,54.4468,10.646,2014,2720,0.068
144,54.4468,14.9458,2013,2701,0
145,54.4468,14.9518,2014,3092,0
146,54.447,14.9413,2015,2998,0
147,54.4475,11.4072,2014,2723,0
148,54.4476,10.6455,2016,2979,0.006
149,54.4477,10.6438,2015,2720,0.126
150,54.4477,10.6465,2016,3242,0.094
151,54.448,10.6412,2014,3016,0
152,54.4483,15.005,2016,2621,0.01
153,54.4485,14.935,2012,2732,0
154,54.449,10.6368,2015,3050,0.002
155,54.451,11.3763,2016,3125,0.013
156,54.4512,10.6247,2012,2563,0
157,54.4514,10.6303,2016,2866,0.014
158,54.4528,10.6252,2015,2954,0.01
159,54.4531,10.6222,2016,2836,0.05
160,54.4538,10.6203,2014,2799,0.248
161,54.4547,10.6142,2015,2939,0
162,54.455,15.5383,2016,2729,3.00E-04
163,54.4553,14.229,2017,3256,0
164,54.4566,10.6022,2017,3065,0.015
165,54.4567,15.5317,2017,1946,0.048
166,54.4567,15.545,2016,2490,1.025
167,54.4567,15.6617,2017,2601,0.4243
168,54.4573,14.7457,2014,2787,0
169,54.4583,19.345,2016,2591,0.743
170,54.46,15.7433,2016,2653,0.002
171,54.462,14.747,2013,2762,0
172,54.4638,11.4245,2013,2248,0
173,54.465,15.7283,2017,2924,0.2878
174,54.4729,10.7112,2016,2950,0
175,54.4808,14.7483,2015,2845,0
176,54.4822,14.7483,2012,2854,0
177,54.4835,14.739,2014,2862,0
178,54.488,14.373,2016,2747,0
179,54.4883,14.7617,2017,2650,0
180,54.4897,10.6988,2014,2725,0
181,54.49,14.76,2017,2614,0
182,54.4902,10.6987,2014,2801,0.024
183,54.4912,10.6983,2013,2700,0
184,54.495,19.2517,2015,2910,0
185,54.497,13.986,2017,2757,0
186,54.4972,13.7798,2014,2757,0
187,54.4973,13.7473,2013,2802,0.086
188,54.4973,13.7515,2013,2757,2.114
189,54.4973,13.7908,2015,2951,6.036
190,54.4974,13.7463,2016,2850,0
191,54.4974,13.7877,2017,2884,0
192,54.4975,13.779,2015,2829,0
193,54.4977,13.7445,2014,2809,0.1
194,54.4983,13.7862,2012,2874,0.18
195,54.4985,13.7863,2016,3087,0
196,54.4997,13.9785,2014,2809,1.679
197,54.5,14.7633,2016,2834,0
198,54.5005,13.9762,2012,2928,0
199,54.5028,14.3807,2014,2711,0
200,54.5032,14.3797,2015,2759,0
201,54.5032,14.38,2014,2794,0.004
202,54.5033,14.3802,2013,2806,0
203,54.5036,14.3778,2017,2897,0
204,54.505,19.2867,2016,1309,0
205,54.5067,19.3267,2015,2803,8.00E-04
206,54.5081,13.9615,2016,2682,0
207,54.5083,18.9483,2017,3018,0.0016
208,54.5083,19.3267,2016,2693,0.031
209,54.509,14.3567,2015,2845,0.046
210,54.5092,14.3547,2013,2680,0
211,54.51,19.295,2017,3058,0.0014
212,54.5117,13.968,2016,2912,0.474
213,54.5123,13.9603,2013,2809,0
214,54.52,18.955,2017,2828,1.2468
215,54.5233,19.3933,2017,2955,0.0408
216,54.5293,14.2745,2015,2575,0.575
217,54.5298,14.2772,2014,2770,0
218,54.5312,14.2392,2017,2865,0.001
219,54.5312,14.2955,2014,2746,0
220,54.5332,14.9412,2014,2785,0
221,54.5333,14.921,2016,2892,0
222,54.5333,15.7483,2017,2705,0.136
223,54.5362,14.2332,2016,2819,0
224,54.5367,15.4883,2017,2607,0.0248
225,54.5372,14.4008,2013,2764,0
226,54.5377,14.2307,2015,2830,0.005
227,54.5386,14.2122,2016,3099,0
